,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,0,1.0,1,0,0.0,0
1,1,1,1,2.0,1,0,3.0,2
2,1,3,1,1.0,0,0,0.0,0
3,1,1,1,2.0,1,0,3.0,0
4,0,3,0,2.0,0,0,0.0,0
5,0,3,0,1.0,0,0,0.0,1
6,0,1,0,3.0,0,0,3.0,0
7,0,3,0,0.0,3,1,2.0,0
8,1,3,1,1.0,0,2,1.0,0
9,1,2,1,0.0,1,0,3.0,2
10,1,3,1,0.0,1,1,1.0,0
11,1,1,1,3.0,0,0,2.0,0
12,0,3,0,1.0,0,0,0.0,0
13,0,3,0,2.0,1,5,3.0,0
14,0,3,1,0.0,0,0,0.0,0
15,1,2,1,3.0,0,0,1.0,0
16,0,3,0,0.0,4,1,2.0,1
17,1,2,0,1.0,0,0,1.0,0
18,0,3,1,1.0,1,0,1.0,0
19,1,3,1,1.0,0,0,0.0,2
20,0,2,0,2.0,0,0,2.0,0
21,1,2,0,2.0,0,0,1.0,0
22,1,3,1,0.0,0,0,0.0,1
23,1,1,0,1.0,0,0,3.0,0
24,0,3,1,0.0,3,1,2.0,0
25,1,3,1,2.0,1,5,3.0,0
26,0,3,0,1.0,0,0,0.0,2
27,0,1,0,1.0,3,2,4.0,0
28,1,3,1,1.0,0,0,0.0,1
29,0,3,0,1.0,0,0,0.0,0
30,0,1,0,2.0,0,0,2.0,2
31,1,1,1,1.0,1,0,4.0,2
32,1,3,1,1.0,0,0,0.0,1
33,0,2,0,4.0,0,0,1.0,0
34,0,1,0,1.0,1,0,3.0,2
35,0,1,0,2.0,1,0,3.0,0
36,1,3,0,1.0,0,0,0.0,2
37,0,3,0,1.0,0,0,0.0,0
38,0,3,1,1.0,2,0,1.0,0
39,1,3,1,0.0,1,0,1.0,2
40,0,3,1,2.0,1,0,0.0,0
41,0,2,1,1.0,1,0,2.0,0
42,0,3,0,1.0,0,0,0.0,2
43,1,2,1,0.0,1,2,3.0,2
44,1,3,1,1.0,0,0,0.0,1
45,0,3,0,1.0,0,0,0.0,0
46,0,3,0,1.0,1,0,1.0,1
47,1,3,1,1.0,0,0,0.0,1
48,0,3,0,1.0,2,0,2.0,2
49,0,3,1,1.0,1,0,1.0,0
50,0,3,0,0.0,4,1,3.0,0
51,0,3,0,1.0,0,0,0.0,0
52,1,1,1,3.0,1,0,3.0,2
53,1,2,1,1.0,1,0,2.0,0
54,0,1,0,4.0,0,1,3.0,2
55,1,1,0,1.0,0,0,3.0,0
56,1,2,1,1.0,0,0,1.0,0
57,0,3,0,1.0,0,0,0.0,2
58,1,2,1,0.0,1,2,2.0,0
59,0,3,0,0.0,5,2,3.0,0
60,0,3,0,1.0,0,0,0.0,2
61,1,1,1,2.0,0,0,3.0,0
62,0,1,0,2.0,1,0,3.0,0
63,0,3,0,0.0,3,2,2.0,0
64,0,1,0,1.0,0,0,2.0,2
65,1,3,0,1.0,1,1,1.0,2
66,1,2,1,1.0,0,0,1.0,0
67,0,3,0,1.0,0,0,0.0,0
68,1,3,1,1.0,4,2,0.0,0
